#           x             T           CH4            O2            N2           CO2           H2O
       0.0073        878.91      0.514838    1.8151e-05        0.3605     0.0685348     0.0561088
       0.0074       920.564      0.485167   1.92846e-05      0.382146     0.0729465     0.0597207
       0.0074       920.564      0.485167   1.92846e-05      0.382147     0.0729466     0.0597207
       0.0074       920.564      0.485167   1.92846e-05      0.382147     0.0729465     0.0597207
       0.0075       963.561      0.456914   2.04038e-05      0.402696     0.0771818      0.063188
       0.0076       1006.56       0.42866    2.1523e-05      0.423245      0.081417     0.0666554
      0.00765       1028.67      0.415397   2.21131e-05      0.432865     0.0834203     0.0682954
       0.0077       1050.78      0.402135   2.27032e-05      0.442484     0.0854234     0.0699354
      0.00775       1072.89      0.388871   2.32933e-05      0.452103     0.0874267     0.0715754
       0.0078          1095      0.375609   2.38834e-05      0.461722     0.0894298     0.0732155
       0.0079       1140.35      0.350997   2.53255e-05      0.479524     0.0931732     0.0762801
        0.008       1185.69      0.326386   2.67676e-05      0.497326     0.0969166     0.0793448
       0.0081       1231.96      0.303777   2.88944e-05      0.513638      0.100378     0.0821784
       0.0082       1278.23      0.281169   3.10212e-05      0.529949      0.103839      0.085012
       0.0083       1325.18      0.260573    3.4629e-05      0.544773      0.107011     0.0876087
       0.0084       1372.13      0.239978   3.82367e-05      0.559596      0.110183     0.0902054
       0.0084       1372.13      0.239977   3.82367e-05      0.559597      0.110183     0.0902054
       0.0084       1372.13      0.239978   3.82367e-05      0.559596      0.110183     0.0902054
       0.0085        1419.5      0.221349   4.47625e-05      0.572974      0.113066     0.0925663
       0.0086       1466.86      0.202721   5.12883e-05      0.586351       0.11595     0.0949272
       0.0087       1514.34      0.185974   6.32755e-05      0.598351      0.118553     0.0970585
       0.0088       1561.82      0.169228   7.52627e-05      0.610351      0.121157     0.0991897
       0.0089       1609.06      0.154255    9.8821e-05      0.621059      0.123489      0.101099
        0.009        1656.3      0.139282   0.000122379      0.631768      0.125821      0.103008
       0.0091       1702.87       0.12596   0.000171513       0.64128      0.127888      0.104701
       0.0092       1749.44      0.112639   0.000220647      0.650792      0.129955      0.106393
       0.0092       1749.44      0.112639   0.000220647      0.650792      0.129955      0.106393
       0.0092       1749.44      0.112639   0.000220647      0.650792      0.129955      0.106393
       0.0093       1794.78      0.100847   0.000325097      0.659207      0.131755      0.107867
       0.0094       1840.12      0.089054   0.000429546      0.667622      0.133555       0.10934
       0.0095       1883.38     0.0786738   0.000651839      0.675037      0.135062      0.110575
       0.0096       1926.64     0.0682936   0.000874132      0.682453       0.13657      0.111809
       0.0097       1965.97     0.0593267    0.00133372      0.688894      0.137706      0.112739
       0.0098       2005.31     0.0503598     0.0017933      0.695335      0.138842       0.11367
       0.0099       2037.85     0.0428378    0.00271373      0.700822      0.139455      0.114171
         0.01       2070.39     0.0353157    0.00363416       0.70631      0.140068      0.114672
       0.0101       2092.89     0.0289237    0.00554959      0.711164       0.13986      0.114503
       0.0102        2115.4     0.0225318    0.00746502      0.716017      0.139653      0.114333
       0.0103       2118.89     0.0173266     0.0114074      0.720383      0.137947      0.112936
       0.0104       2122.38     0.0121215     0.0153497      0.724748      0.136242       0.11154
       0.0105        2086.5    0.00876444     0.0233247      0.728512      0.131633      0.107767
       0.0106       2050.61    0.00540741     0.0312996      0.732276      0.127024      0.103993
       0.0107       1972.59    0.00379123     0.0433026      0.735517      0.119531     0.0978588
       0.0108       1894.57    0.00217505     0.0553056      0.738757      0.112038     0.0917244
       0.0109        1796.1    0.00150379     0.0686446      0.741561      0.103531       0.08476
        0.011       1697.64    0.00083252     0.0819837      0.744364     0.0950242     0.0777956
       0.0111       1595.33   0.000565771     0.0948102      0.746785     0.0867873     0.0710521
       0.0112       1493.03   0.000299022      0.107637      0.749205     0.0785504     0.0643085
       0.0113        1394.5   0.000199237      0.119248      0.751288     0.0710757      0.058189
       0.0114       1295.97   9.94523e-05       0.13086       0.75337      0.063601     0.0520695
       0.0115       1204.86   6.49522e-05      0.141027      0.755147     0.0570531     0.0467089
       0.0116       1113.76   3.04521e-05      0.151193      0.756923     0.0505053     0.0413482
       0.0117       1031.81   1.98579e-05      0.159893       0.75842      0.044904     0.0367625
       0.0118       949.855   9.26368e-06      0.168594      0.759918     0.0393027     0.0321768
       0.0119       874.555   6.59549e-06      0.176194      0.761211     0.0344139     0.0281743
        0.012       799.256    3.9273e-06      0.183795      0.762504      0.029525     0.0241719
       0.0121        731.08   3.23533e-06      0.190357       0.76361     0.0253096     0.0207207
       0.0122       662.903   2.54337e-06      0.196919      0.764715     0.0210941     0.0172696
      0.01225        634.35   2.33598e-06      0.199558      0.765154     0.0194017      0.015884
       0.0123       605.798   2.12859e-06      0.202197      0.765594     0.0177093     0.0144985
      0.01235       577.245    1.9212e-06      0.204835      0.766033     0.0160169     0.0131129
       0.0124       548.692   1.71381e-06      0.207474      0.766472     0.0143245     0.0117274
       0.0125       503.497    1.3997e-06      0.211531      0.767137     0.0117285      0.009602
       0.0126       458.302   1.08558e-06      0.215588      0.767802    0.00913241    0.00747663
       0.0126       458.302   1.08558e-06      0.215588      0.767802    0.00913241    0.00747663
       0.0126       458.303   1.08558e-06      0.215588      0.767802    0.00913241    0.00747663
       0.0127       425.101    8.6112e-07      0.218511      0.768271    0.00726734    0.00594971
       0.0128         391.9   6.36658e-07      0.221434       0.76874    0.00540226    0.00442279
       0.0129       369.648   4.89776e-07       0.22337      0.769041    0.00417221    0.00341575
        0.013       347.397   3.42895e-07      0.225306      0.769343    0.00294215    0.00240871
       0.0131       334.031   2.56656e-07      0.226461      0.769515    0.00221224    0.00181114
       0.0132       320.665   1.70418e-07      0.227616      0.769688    0.00148233    0.00121357
      0.01325       317.073   1.47782e-07      0.227925      0.769732    0.00128818    0.00105462
       0.0133       313.482   1.25145e-07      0.228235      0.769775    0.00109402   0.000895668
      0.01335        309.89   1.02509e-07      0.228544      0.769819   0.000899873   0.000736718
       0.0134       306.298   7.98729e-08      0.228853      0.769863   0.000705723   0.000577769
       0.0135       302.729   5.79309e-08      0.229161      0.769903   0.000514596   0.000421295
       0.0136       299.159   3.59889e-08      0.229468      0.769944    0.00032347   0.000264822
       0.0136       299.159   3.59889e-08      0.229468      0.769944    0.00032347   0.000264822
       0.0136       299.159   3.59889e-08      0.229468      0.769944    0.00032347   0.000264822
       0.0137       297.471     2.589e-08      0.229613      0.769961   0.000233994   0.000191569
       0.0138       295.783    1.5791e-08      0.229759      0.769978   0.000144518   0.000118315
      0.01385       295.397   1.35492e-08      0.229792      0.769982    0.00012429   0.000101755
       0.0139       295.012   1.13074e-08      0.229826      0.769985   0.000104063   8.51956e-05
      0.01395       294.626   9.06561e-09      0.229859      0.769988   8.38359e-05   6.86358e-05
        0.014        294.24    6.8238e-09      0.229892      0.769992   6.36087e-05   5.20759e-05
       0.0141       293.895   4.87896e-09      0.229923      0.769995   4.57246e-05   3.74343e-05
       0.0142        293.55   2.93412e-09      0.229953      0.769998   2.78404e-05   2.27927e-05
       0.0143       293.396    2.0945e-09      0.229966      0.769999   1.99704e-05   1.63496e-05
       0.0144       293.242   1.25488e-09      0.229979      0.769999   1.21005e-05   9.90652e-06
       0.0144       293.242   1.25488e-09      0.229979      0.769999   1.21005e-05   9.90652e-06
       0.0144       293.242   1.25488e-09      0.229979      0.769999   1.21005e-05   9.90652e-06
       0.0145       293.174   8.93636e-10      0.229985          0.77   8.64998e-06   7.08166e-06
       0.0146       293.105   5.32395e-10       0.22999          0.77   5.19951e-06   4.25679e-06
       0.0147       293.075   3.78707e-10      0.229993          0.77    3.7069e-06    3.0348e-06
       0.0148       293.045    2.2502e-10      0.229996          0.77   2.21429e-06   1.81282e-06
      0.01485       293.038   1.91823e-10      0.229997          0.77    1.8885e-06   1.54609e-06
       0.0149       293.032   1.58627e-10      0.229997          0.77    1.5627e-06   1.27937e-06
      0.01495       293.025    1.2543e-10      0.229998          0.77   1.23691e-06   1.01265e-06
