#           x             T           CH4            O2            N2           CO2           H2O
       0.0006           293             1   3.57443e-22   1.55431e-15   9.16986e-19   7.50728e-19
       0.0007           293             1   8.78629e-22   1.65145e-15   2.26184e-18   1.85174e-18
       0.0008           293             1   1.39982e-21    1.7486e-15   3.60668e-18   2.95276e-18
       0.0009           293             1   3.55307e-21    1.8735e-15   9.18228e-18   7.51744e-18
        0.001           293             1   5.70632e-21    1.9984e-15   1.47579e-17   1.20821e-17
       0.0011           293             1   1.54187e-20   2.05391e-15   4.00003e-17   3.27478e-17
       0.0012           293             1    2.5131e-20   2.10943e-15   6.52427e-17   5.34136e-17
       0.0013           293             1   6.53093e-20   2.60902e-15   1.70136e-16   1.39289e-16
       0.0014           293             1   1.05488e-19   3.10863e-15    2.7503e-16   2.25165e-16
       0.0015           293             1   3.17167e-19   6.32827e-15   8.29954e-16   6.79477e-16
       0.0016           293             1   5.28847e-19   9.54791e-15   1.38488e-15   1.13379e-15
       0.0017           293             1     1.651e-18   2.57988e-14   4.33812e-15   3.55159e-15
       0.0018           293             1   2.77316e-18   4.20497e-14   7.29137e-15   5.96938e-15
       0.0019           293             1   8.56837e-18    1.2533e-13   2.26029e-14   1.85048e-14
        0.002           293             1   1.43636e-17   2.08611e-13   3.79144e-14   3.10402e-14
       0.0021           293             1   4.37923e-17   6.30314e-13   1.15971e-13   9.49445e-14
       0.0022           293             1    7.3221e-17   1.05202e-12   1.94028e-13   1.58849e-13
       0.0023           293             1   2.19712e-16    3.1443e-12   5.84088e-13   4.78189e-13
       0.0024           293             1   3.66203e-16   5.23659e-12   9.74149e-13   7.97528e-13
       0.0025           293             1   1.07937e-15   1.53952e-11   2.88043e-12   2.35819e-12
       0.0026           293             1   1.79254e-15   2.55538e-11   4.78671e-12   3.91884e-12
       0.0027           293             1    5.1808e-15   7.37007e-11   1.38782e-11    1.1362e-11
       0.0028           293             1   8.56905e-15   1.21848e-10   2.29698e-11   1.88052e-11
       0.0029           293             1   2.42424e-14   3.44077e-10   6.51861e-11   5.33673e-11
        0.003           293             1   3.99157e-14   5.66307e-10   1.07402e-10   8.79295e-11
       0.0031           293             1   1.10336e-13   1.56282e-09   2.97805e-10    2.4381e-10
       0.0032           293             1   1.80757e-13   2.55933e-09   4.88207e-10   3.99691e-10
       0.0033           293             1     4.873e-13   6.88946e-09   1.32017e-09   1.08081e-09
       0.0034           293             1   7.93843e-13   1.12196e-08   2.15214e-09   1.76194e-09
       0.0035           293             1    2.0832e-12   2.94036e-08   5.66465e-09   4.63759e-09
       0.0036           293             1   3.37255e-12   4.75875e-08   9.17717e-09   7.51325e-09
       0.0037           293             1   8.59784e-12   1.21175e-07   2.34651e-08   1.92107e-08
       0.0038           293             1   1.38231e-11   1.94763e-07   3.77531e-08   3.09081e-08
       0.0039       293.001             1   3.41651e-11   4.80875e-07   9.35806e-08   7.66135e-08
        0.004       293.001      0.999999   5.45071e-11   7.66987e-07   1.49408e-07   1.22319e-07
