#           x             T           CH4            O2            N2           CO2           H2O
       0.0073       973.171      0.397596   1.00752e-05      0.515903     0.0475568     0.0389343
       0.0074       999.895      0.381152   1.04002e-05      0.528271     0.0497975     0.0407688
       0.0074       999.895      0.381152   1.04003e-05      0.528271     0.0497976     0.0407688
       0.0074       999.895      0.381152   1.04002e-05      0.528271     0.0497975     0.0407688
       0.0075       1027.14      0.365495   1.07168e-05      0.539829     0.0520516     0.0426141
       0.0076       1054.38      0.349838   1.10333e-05      0.551386     0.0543055     0.0444595
      0.00765       1068.26      0.342409   1.11947e-05      0.556764     0.0554329     0.0453824
       0.0077       1082.14      0.334981    1.1356e-05      0.562142     0.0565602     0.0463053
      0.00775       1096.02      0.327552   1.15173e-05      0.567521     0.0576876     0.0472283
       0.0078        1109.9      0.320124   1.16787e-05      0.572899     0.0588149     0.0481512
       0.0079       1138.14      0.306068   1.20364e-05      0.582873     0.0610588     0.0499883
        0.008       1166.38      0.292013   1.23941e-05      0.592847     0.0633027     0.0518253
       0.0081       1195.05      0.278752   1.28362e-05      0.602064     0.0655256     0.0536452
       0.0082       1223.72      0.265491   1.32783e-05      0.611282     0.0677485     0.0554651
       0.0083       1252.76       0.25301   1.38815e-05      0.619774     0.0699414     0.0572604
       0.0084       1281.81      0.240529   1.44848e-05      0.628266     0.0721343     0.0590557
       0.0084       1281.81      0.240529   1.44848e-05      0.628266     0.0721343     0.0590557
       0.0084       1281.81      0.240529   1.44848e-05      0.628266     0.0721343     0.0590557
       0.0085       1311.16      0.228807   1.53652e-05      0.636068     0.0742892     0.0608199
       0.0086       1340.52      0.217085   1.62455e-05      0.643871      0.076444     0.0625841
       0.0087       1370.13      0.206098   1.75768e-05      0.651019      0.078554     0.0643114
       0.0088       1399.74      0.195111    1.8908e-05      0.658168     0.0806639     0.0660388
       0.0089       1429.53      0.184831   2.09559e-05      0.664701     0.0827227     0.0677244
        0.009       1459.32      0.174551   2.30037e-05      0.671234     0.0847816       0.06941
       0.0091       1489.21       0.16495    2.6181e-05       0.67719     0.0867843     0.0710495
       0.0092       1519.11      0.155348   2.93582e-05      0.683147     0.0887869      0.072689
       0.0092       1519.11      0.155348   2.93582e-05      0.683147     0.0887869      0.072689
       0.0092       1519.11      0.155348   2.93582e-05      0.683147     0.0887869      0.072689
       0.0093       1549.03      0.146394   3.43098e-05      0.688564     0.0907287     0.0742788
       0.0094       1578.94       0.13744   3.92613e-05      0.693981     0.0926705     0.0758685
       0.0095       1608.79      0.129104   4.71275e-05      0.698897     0.0945474     0.0774051
       0.0096       1638.64      0.120767   5.49936e-05      0.703812     0.0964242     0.0789416
       0.0097       1668.32      0.113018   6.81625e-05      0.708261     0.0982316     0.0804214
       0.0098       1697.99      0.105268   8.13314e-05      0.712711      0.100039     0.0819012
       0.0099       1727.37      0.098075   0.000104266      0.716728      0.101772     0.0833201
         0.01       1756.75     0.0908821   0.000127201      0.720746      0.103505     0.0847389
       0.0101       1785.68     0.0842178   0.000167809      0.724366      0.105157     0.0860912
       0.0102       1814.61     0.0775535   0.000208418      0.727986      0.106809     0.0874435
       0.0103       1842.88     0.0713916   0.000280977      0.731239      0.108368     0.0887204
       0.0104       1871.15     0.0652298   0.000353535      0.734491      0.109928     0.0899973
       0.0105       1898.46     0.0595479   0.000483327      0.737407      0.111378     0.0911841
       0.0106       1925.77     0.0538661   0.000613118      0.740322      0.112827      0.092371
       0.0107       1951.66     0.0486473   0.000844121      0.742928      0.114137     0.0934431
       0.0108       1977.55     0.0434286    0.00107512      0.745534      0.115447     0.0945152
       0.0109       2001.21     0.0386796    0.00148178       0.74785      0.116561     0.0954274
        0.011       2024.86     0.0339306    0.00188844      0.750166      0.117675     0.0963396
       0.0111       2044.76     0.0297218     0.0025861      0.752186      0.118495     0.0970109
       0.0112       2064.65     0.0255129    0.00328376      0.754206      0.119315     0.0976821
       0.0113       2078.95      0.021847    0.00448263      0.755966      0.119704     0.0980006
       0.0114       2093.24      0.018181    0.00568151      0.757726      0.120093      0.098319
