#           x             T           CH4            O2            N2           CO2           H2O
       0.0006           293             1   1.34825e-20   3.88578e-16   3.55916e-17   2.91384e-17
       0.0007           293             1   3.17167e-20   7.07767e-16   8.43353e-17   6.90445e-17
       0.0008           293             1   4.99509e-20   1.02696e-15   1.33079e-16   1.08951e-16
       0.0009           293             1   1.32355e-19   2.76168e-15   3.55236e-16   2.90828e-16
        0.001           293             1   2.14759e-19    4.4964e-15   5.77392e-16   4.72706e-16
       0.0011           293             1   5.98475e-19   1.24484e-14   1.62004e-15   1.32632e-15
       0.0012           293             1   9.82191e-19   2.04004e-14   2.66269e-15   2.17993e-15
       0.0013           293             1   2.75004e-18   5.63854e-14   7.50582e-15   6.14495e-15
       0.0014           293             1   4.51789e-18   9.23703e-14   1.23489e-14     1.011e-14
       0.0015           293             1   1.25696e-17   2.53422e-13   3.45819e-14   2.83119e-14
       0.0016           293             1   2.06213e-17   4.14474e-13   5.68148e-14   4.65138e-14
       0.0017           293             1   5.67745e-17   1.12577e-12   1.57413e-13   1.28873e-13
       0.0018           293             1   9.29276e-17   1.83706e-12   2.58012e-13   2.11232e-13
       0.0019           293             1   2.52678e-16    4.9334e-12   7.05892e-13   5.77907e-13
        0.002           293             1   4.12429e-16   8.02975e-12   1.15377e-12   9.44582e-13
       0.0021           293             1   1.10584e-15   2.12815e-11   3.11227e-12   2.54798e-12
       0.0022           293             1   1.79924e-15   3.45333e-11   5.07076e-12   4.15138e-12
       0.0023           293             1    4.7498e-15    9.0173e-11   1.34654e-11    1.1024e-11
       0.0024           293             1   7.70036e-15   1.45813e-10   2.18601e-11   1.78967e-11
       0.0025           293             1   1.99826e-14   3.74502e-10   5.70566e-11   4.67117e-11
       0.0026           293             1   3.22648e-14   6.03191e-10    9.2253e-11   7.55268e-11
       0.0027           293             1   8.21715e-14    1.5213e-09   2.36287e-10   1.93446e-10
       0.0028           293             1   1.32078e-13    2.4394e-09   3.80322e-10   3.11366e-10
       0.0029           293             1   3.29578e-13   6.03131e-09    9.5434e-10    7.8131e-10
        0.003           293             1   5.27078e-13   9.62322e-09   1.52836e-09   1.25125e-09
       0.0031           293             1   1.28648e-12   2.32849e-08   3.75092e-09   3.07085e-09
       0.0032           293             1   2.04588e-12   3.69467e-08   5.97349e-09   4.89044e-09
       0.0033           293             1    4.8759e-12   8.73363e-08   1.43137e-08   1.17185e-08
       0.0034           293             1   7.70592e-12   1.37726e-07    2.2654e-08   1.85466e-08
       0.0035           293             1   1.79011e-11   3.17485e-07   5.29069e-08   4.33143e-08
       0.0036           293      0.999999   2.80963e-11   4.97244e-07   8.31598e-08    6.8082e-08
       0.0037       293.001      0.999999   6.35032e-11   1.11575e-06   1.88945e-07   1.54688e-07
       0.0038       293.002      0.999997     9.891e-11   1.73426e-06   2.94731e-07   2.41293e-07
       0.0039       293.006      0.999995   2.17103e-10   3.78082e-06   6.50269e-07   5.32368e-07
        0.004       293.009      0.999992   3.35296e-10   5.82739e-06   1.00581e-06   8.23444e-07
       0.0041       293.019      0.999984   7.13346e-10   1.23191e-05   2.15075e-06    1.7608e-06
       0.0042       293.029      0.999975    1.0914e-09   1.88109e-05    3.2957e-06   2.69816e-06
       0.0043       293.061      0.999949   2.24614e-09    3.8484e-05   6.81653e-06   5.58062e-06
       0.0044       293.092      0.999923   3.40088e-09   5.81572e-05   1.03374e-05   8.46308e-06
       0.0045       293.183      0.999848   6.75632e-09   0.000114899   2.06369e-05   1.68952e-05
       0.0046       293.274      0.999772   1.01118e-08    0.00017164   3.09364e-05   2.53273e-05
       0.0046       293.274      0.999772   1.01118e-08    0.00017164   3.09364e-05   2.53273e-05
       0.0046       293.274      0.999772   1.01118e-08    0.00017164   3.09364e-05   2.53273e-05
       0.0047       293.523      0.999565   1.93462e-08   0.000326705   5.94701e-05   4.86875e-05
       0.0048       293.772      0.999358   2.85806e-08   0.000481769   8.80039e-05   7.20478e-05
       0.0049       294.417      0.998823   5.25145e-08   0.000881015   0.000162444   0.000132992
        0.005       295.062      0.998289   7.64485e-08    0.00128026   0.000236885   0.000193936
       0.0051       296.624      0.996998   1.34414e-07     0.0022412   0.000418333   0.000342485
       0.0052       298.186      0.995707    1.9238e-07    0.00320214   0.000599781   0.000491035
       0.0053       301.676      0.992826   3.22091e-07    0.00533995    0.00100833   0.000825513
       0.0054       305.165      0.989945   4.51802e-07    0.00747776    0.00141688    0.00115999
       0.0055       312.229       0.98411   7.15154e-07     0.0117948    0.00225122    0.00184306
       0.0056       319.292      0.978276   9.78506e-07     0.0161118    0.00308557    0.00252613
       0.0056       319.292      0.978276   9.78506e-07     0.0161118    0.00308556    0.00252613
       0.0056       319.292      0.978276   9.78506e-07     0.0161118    0.00308557    0.00252613
       0.0057       331.697      0.967986   1.44396e-06     0.0237043    0.00456802     0.0037398
       0.0058       344.102      0.957697   1.90942e-06     0.0312968    0.00605047    0.00495347
       0.0059       362.989      0.941891   2.62599e-06     0.0429325    0.00834338    0.00683066
        0.006       381.876      0.926084   3.34255e-06     0.0545681     0.0106363    0.00870786
       0.0061       407.346       0.90449   4.32342e-06     0.0704302     0.0137875     0.0112877
       0.0062       432.815      0.882896   5.30429e-06     0.0862922     0.0169388     0.0138676
       0.0062       432.815      0.882896   5.30429e-06     0.0862922     0.0169387     0.0138676
       0.0062       432.815      0.882896   5.30429e-06     0.0862922     0.0169388     0.0138676
       0.0063        463.99      0.856133   6.52216e-06      0.105914     0.0208645     0.0170816
       0.0064       495.166      0.829371   7.74003e-06      0.125535     0.0247902     0.0202956
       0.0065       530.821       0.79864   9.14085e-06      0.148029     0.0293183     0.0240026
       0.0066       566.476       0.76791   1.05417e-05      0.170523     0.0338463     0.0277097
       0.0066       566.476       0.76791   1.05417e-05      0.170523     0.0338463     0.0277097
       0.0066       566.476       0.76791   1.05417e-05      0.170523     0.0338463     0.0277097
       0.0067       605.566      0.734628   1.20611e-05       0.19485     0.0387695     0.0317402
       0.0068       644.656      0.701346   1.35806e-05      0.219177     0.0436926     0.0357708
       0.0069       686.485      0.666889    1.5156e-05      0.244331     0.0488071      0.039958
        0.007       728.314      0.632432   1.67314e-05      0.269485     0.0539216     0.0441451
       0.0071       772.459      0.597994   1.83091e-05      0.294596     0.0590488     0.0483428
       0.0072       816.603      0.563556   1.98868e-05      0.319707      0.064176     0.0525403
       0.0073       862.752      0.530088   2.14318e-05      0.344087     0.0691726      0.056631
       0.0074         908.9      0.496619   2.29767e-05      0.368467     0.0741692     0.0607217
       0.0074         908.9      0.496619   2.29767e-05      0.368467     0.0741692     0.0607217
       0.0074         908.9      0.496619   2.29767e-05      0.368467     0.0741692     0.0607217
       0.0075       956.747      0.464815   2.44974e-05      0.391613     0.0789293     0.0646187
       0.0076       1004.59       0.43301   2.60181e-05      0.414759     0.0836893     0.0685157
      0.00765       1029.27      0.418171    2.6824e-05       0.42555     0.0859152     0.0703381
