#           x             T           CH4            O2            N2           CO2           H2O
       0.0006           293             1   1.07243e-15   3.79333e-10   1.27292e-12   1.04213e-12
       0.0007           293             1   2.12166e-15   6.87134e-10   2.65988e-12   2.17763e-12
       0.0008           293             1   3.17089e-15   9.94935e-10   4.04685e-12   3.31313e-12
       0.0009           293             1   6.18127e-15   1.75967e-09   8.34567e-12   6.83253e-12
        0.001           293             1   9.19164e-15   2.52441e-09   1.26445e-11   1.03519e-11
       0.0011           293             1    1.7802e-14   4.41807e-09   2.58816e-11    2.1189e-11
       0.0012           293             1   2.64124e-14   6.31172e-09   3.91187e-11   3.20261e-11
       0.0013           293             1   5.09226e-14   1.09928e-08   7.95297e-11   6.51102e-11
       0.0014           293             1   7.54328e-14   1.56739e-08   1.19941e-10   9.81942e-11
       0.0015           293             1   1.44743e-13   2.72285e-08   2.42033e-10    1.9815e-10
       0.0016           293             1   2.14053e-13    3.8783e-08   3.64125e-10   2.98106e-10
       0.0017           293             1   4.08378e-13   6.72384e-08   7.28548e-10   5.96457e-10
       0.0018           293             1   6.02704e-13   9.56938e-08   1.09297e-09   8.94807e-10
       0.0019           293             1   1.14178e-12   1.65501e-07   2.16568e-09   1.77303e-09
        0.002           293             1   1.68085e-12   2.35308e-07   3.23839e-09   2.65124e-09
       0.0021           293             1   3.15739e-12   4.05549e-07   6.34679e-09   5.19605e-09
       0.0022           293      0.999999   4.63393e-12    5.7579e-07   9.45518e-09   7.74086e-09
       0.0023       293.001      0.999999   8.61866e-12   9.87544e-07   1.83056e-08   1.49867e-08
       0.0024       293.001      0.999999   1.26034e-11    1.3993e-06   2.71561e-08   2.22325e-08
       0.0025       293.002      0.999997   2.31762e-11   2.38451e-06   5.18708e-08   4.24662e-08
       0.0026       293.004      0.999996    3.3749e-11   3.36972e-06   7.65856e-08      6.27e-08
       0.0027       293.006      0.999994   6.12716e-11    5.6957e-06   1.44144e-07   1.18009e-07
       0.0028       293.008      0.999991   8.87942e-11   8.02169e-06   2.11702e-07   1.73318e-07
       0.0029       293.014      0.999986   1.58933e-10   1.34257e-05   3.92115e-07   3.21021e-07
        0.003       293.019       0.99998   2.29072e-10   1.88296e-05   5.72529e-07   4.68724e-07
       0.0031       293.032      0.999967   4.03671e-10   3.11514e-05   1.04226e-06    8.5329e-07
       0.0032       293.045      0.999953   5.78269e-10   4.34732e-05   1.51199e-06   1.23786e-06
       0.0033       293.074      0.999924   1.00186e-09   7.09707e-05   2.70185e-06   2.21198e-06
       0.0034       293.103      0.999894   1.42546e-09   9.84683e-05    3.8917e-06    3.1861e-06
       0.0035       293.167      0.999829   2.42463e-09   0.000158356   6.81726e-06   5.58124e-06
       0.0036       293.232      0.999764   3.42381e-09   0.000218244   9.74282e-06   7.97638e-06
       0.0037       293.372      0.999624   5.70931e-09   0.000345158   1.67076e-05   1.36784e-05
       0.0038       293.512      0.999485   7.99482e-09   0.000472071   2.36725e-05   1.93805e-05
       0.0039       293.806      0.999195   1.30493e-08     0.0007329   3.96803e-05   3.24859e-05
        0.004         294.1      0.998905   1.81038e-08   0.000993728   5.56881e-05   4.55914e-05
       0.0041       294.697      0.998323   2.88723e-08    0.00151158   9.10819e-05    7.4568e-05
       0.0042       295.295       0.99774   3.96409e-08    0.00202944   0.000126476   0.000103545
       0.0043       296.464      0.996616     6.164e-08    0.00301798   0.000201412   0.000164894
       0.0044       297.632      0.995491   8.36391e-08    0.00400653   0.000276348   0.000226244
       0.0045       299.812      0.993418   1.26356e-07    0.00580511   0.000426933   0.000349526
       0.0046       301.992      0.991346   1.69074e-07    0.00760369   0.000577518   0.000472809
       0.0046       301.992      0.991346   1.69073e-07    0.00760369   0.000577518   0.000472809
       0.0046       301.992      0.991346   1.69074e-07    0.00760369   0.000577518   0.000472809
       0.0047       305.796      0.987775   2.46375e-07     0.0106628    0.00085907   0.000703313
       0.0048         309.6      0.984203   3.23676e-07      0.013722    0.00114062   0.000933817
       0.0049       315.765      0.978482   4.53297e-07     0.0185577    0.00162768    0.00133257
        0.005       321.931       0.97276   5.82919e-07     0.0233935    0.00211474    0.00173132
       0.0051       331.206       0.96424   7.84194e-07     0.0304969    0.00289363    0.00236899
       0.0052        340.48      0.955719   9.85469e-07     0.0376003    0.00367252    0.00300666
