#           x             T           CH4            O2            N2           CO2           H2O
       0.0006       300.594      0.990156   8.15625e-08     0.0098092   1.89635e-05   1.55253e-05
       0.0007       302.919       0.98713   1.08396e-07     0.0128223   2.59287e-05   2.12276e-05
       0.0008       305.243      0.984104   1.35229e-07     0.0158354   3.28939e-05   2.69299e-05
       0.0009       308.295       0.98012   1.72442e-07     0.0198011   4.33625e-05   3.55005e-05
        0.001       311.347      0.976135   2.09655e-07     0.0237668   5.38311e-05   4.40711e-05
       0.0011       315.242      0.971034   2.60055e-07     0.0288396   6.92714e-05   5.67118e-05
       0.0012       319.137      0.965933   3.10455e-07     0.0339125   8.47116e-05   6.93526e-05
       0.0013       323.972      0.959583   3.77023e-07     0.0402224   0.000106977   8.75813e-05
       0.0014       328.807      0.953232    4.4359e-07     0.0465323   0.000129243    0.00010581
       0.0015       334.648       0.94554   5.29235e-07     0.0541679   0.000160557   0.000131447
       0.0016        340.49      0.937847   6.14881e-07     0.0618035   0.000191872   0.000157084
       0.0017       347.366      0.928774   7.22162e-07      0.070799   0.000234766   0.000192201
       0.0018       354.243        0.9197   8.29444e-07     0.0797944    0.00027766   0.000227318
       0.0019       362.142      0.909267   9.60297e-07     0.0901233   0.000334866   0.000274151
        0.002       370.041      0.898833   1.09115e-06      0.100452   0.000392071   0.000320985
       0.0021       378.912      0.887121   1.24668e-06      0.112029   0.000466393   0.000381832
       0.0022       387.782      0.875409   1.40222e-06      0.123606   0.000540715   0.000442678
       0.0023       397.543      0.862548   1.58261e-06      0.136296   0.000634899   0.000519786
       0.0024       407.304      0.849686     1.763e-06      0.148986   0.000729084   0.000596895
       0.0025       417.856      0.835842    1.9675e-06      0.162618   0.000845706   0.000692372
       0.0026       428.407      0.821999     2.172e-06      0.176249   0.000962328    0.00078785
       0.0027        439.64      0.807362   2.39901e-06      0.190628    0.00110371   0.000903596
       0.0028       450.873      0.792725   2.62603e-06      0.205008    0.00124509    0.00101934
       0.0029       462.682      0.777492   2.87327e-06      0.219935    0.00141325    0.00115701
        0.003       474.491      0.762259   3.12052e-06      0.234862    0.00158141    0.00129468
       0.0031       486.777      0.746624   3.38521e-06      0.250139    0.00177803    0.00145566
       0.0032       499.063      0.730989    3.6499e-06      0.265417    0.00197466    0.00161664
       0.0033        511.74      0.715133   3.92889e-06      0.280861    0.00220114    0.00180205
       0.0034       524.417      0.699276   4.20789e-06      0.296304    0.00242762    0.00198747
       0.0035       537.412      0.683363   4.49789e-06      0.311749    0.00268504    0.00219822
       0.0036       550.408       0.66745   4.78789e-06      0.327193    0.00294246    0.00240897
       0.0037       563.664      0.651623   5.08556e-06      0.342494    0.00323165    0.00264572
       0.0038       576.919      0.635796   5.38322e-06      0.357795    0.00352084    0.00288248
       0.0039       590.389      0.620176   5.68529e-06       0.37283    0.00384239    0.00314574
        0.004       603.859      0.604556   5.98736e-06      0.387865    0.00416395    0.00340899
       0.0041       617.507      0.589242   6.29073e-06      0.402534     0.0045183    0.00369909
       0.0042       631.155      0.573928   6.59411e-06      0.417204    0.00487264    0.00398919
       0.0043       644.955      0.558999   6.89592e-06      0.431428    0.00526004    0.00430635
       0.0044       658.755       0.54407   7.19773e-06      0.445652    0.00564744    0.00462351
       0.0045       672.689      0.529587   7.49537e-06       0.45937    0.00606803    0.00496784
       0.0046       686.623      0.515103   7.79302e-06      0.473088    0.00648862    0.00531218
       0.0046       686.623      0.515103   7.79302e-06      0.473088    0.00648862    0.00531218
       0.0046       686.623      0.515103   7.79302e-06      0.473088    0.00648862    0.00531218
       0.0047       700.677      0.501109   8.08422e-06      0.486256    0.00694245    0.00568372
       0.0048       714.731      0.487115   8.37542e-06      0.499424    0.00739628    0.00605527
       0.0049       728.896      0.473642   8.65824e-06      0.512012    0.00788331      0.006454
        0.005       743.061      0.460168   8.94106e-06        0.5246    0.00837035    0.00685273
       0.0051       757.332      0.447233   9.21396e-06      0.536589     0.0088905    0.00727858
       0.0052       771.603      0.434298   9.48686e-06      0.548578    0.00941065    0.00770442
       0.0053       785.976       0.42191   9.74876e-06      0.559959    0.00996377    0.00815725
       0.0054        800.35      0.409522   1.00107e-05      0.571341     0.0105169    0.00861009
       0.0055       814.823      0.397683    1.0261e-05      0.582114     0.0111028    0.00908977
       0.0056       829.297      0.385843   1.05113e-05      0.592888     0.0116887    0.00956944
       0.0056       829.297      0.385843   1.05113e-05      0.592888     0.0116887    0.00956944
       0.0056       829.297      0.385843   1.05113e-05      0.592888     0.0116887    0.00956944
       0.0057        843.87      0.374547   1.07502e-05      0.603059     0.0123072     0.0100758
       0.0058       858.443      0.363251    1.0989e-05       0.61323     0.0129257     0.0105821
       0.0059       873.114      0.352488   1.12174e-05      0.622809     0.0135764     0.0111149
        0.006       887.785      0.341725   1.14457e-05      0.632388     0.0142272     0.0116477
       0.0061       902.554      0.331482   1.16654e-05      0.641389       0.01491     0.0122067
       0.0062       917.323      0.321239   1.18851e-05      0.650391     0.0155928     0.0127657
       0.0062       917.323      0.321239   1.18851e-05      0.650391     0.0155928     0.0127657
       0.0062       917.323      0.321239   1.18851e-05      0.650391     0.0155928     0.0127657
       0.0063       932.189      0.311499   1.20994e-05      0.658831     0.0163073     0.0133506
       0.0064       947.055      0.301759   1.23137e-05      0.667272     0.0170218     0.0139356
       0.0065       962.016      0.292504   1.25274e-05       0.67517     0.0177676     0.0145461
       0.0066       976.978      0.283249   1.27411e-05      0.683068     0.0185134     0.0151567
       0.0066       976.978      0.283249   1.27411e-05      0.683068     0.0185134     0.0151567
       0.0066       976.978      0.283249   1.27411e-05      0.683068     0.0185134     0.0151567
       0.0067       992.038      0.274461    1.2961e-05      0.690443     0.0192901     0.0157926
       0.0068        1007.1      0.265672   1.31808e-05      0.697819     0.0200668     0.0164285
       0.0069       1022.27       0.25733   1.34159e-05      0.704694     0.0208739     0.0170893
        0.007       1037.45      0.248987   1.36509e-05      0.711568      0.021681       0.01775
       0.0071       1052.75      0.241071   1.39133e-05      0.717962      0.022518     0.0184353
       0.0072       1068.06      0.233154   1.41756e-05      0.724356      0.023355     0.0191206
       0.0073       1083.48      0.225643   1.44808e-05      0.730291     0.0242214     0.0198298
       0.0074       1098.91      0.218131    1.4786e-05      0.736227     0.0250878     0.0205391
       0.0074       1098.91      0.218131    1.4786e-05      0.736227     0.0250878     0.0205391
       0.0074       1098.91      0.218132    1.4786e-05      0.736227     0.0250878     0.0205391
       0.0075       1114.47      0.211006   1.51543e-05      0.741724     0.0259829     0.0212719
       0.0076       1130.03       0.20388   1.55227e-05      0.747221     0.0268779     0.0220047
      0.00765       1137.88        0.2005   1.57514e-05      0.749761     0.0273395     0.0223826
       0.0077       1145.72      0.197121   1.59801e-05      0.752302      0.027801     0.0227605
      0.00775       1153.56      0.193741   1.62088e-05      0.754842     0.0282626     0.0231383
       0.0078        1161.4      0.190361   1.64376e-05      0.757382     0.0287241     0.0235162
       0.0079       1177.22      0.183948    1.7018e-05      0.762066     0.0296745     0.0242942
        0.008       1193.03      0.177535   1.75984e-05       0.76675     0.0306249     0.0250723
       0.0081       1208.97      0.171451    1.8346e-05      0.771057     0.0316017     0.0258721
       0.0082        1224.9      0.165366   1.90935e-05      0.775364     0.0325786     0.0266718
       0.0083       1240.97      0.159592   2.00667e-05      0.779314     0.0335811     0.0274925
       0.0084       1257.02      0.153818   2.10398e-05      0.783264     0.0345836     0.0283132
       0.0084       1257.03      0.153818   2.10398e-05      0.783264     0.0345836     0.0283133
       0.0084       1257.02      0.153818   2.10398e-05      0.783264     0.0345836     0.0283132
       0.0085        1273.2      0.148338   2.23165e-05      0.786875     0.0356107     0.0291542
       0.0086       1289.38      0.142858   2.35932e-05      0.790485     0.0366378      0.029995
       0.0087       1305.67      0.137655   2.52782e-05      0.793775     0.0376886     0.0308553
       0.0088       1321.96      0.132453   2.69633e-05      0.797065     0.0387394     0.0317156
       0.0089       1338.37      0.127513   2.91978e-05      0.800051     0.0398127     0.0325943
        0.009       1354.76      0.122573   3.14323e-05      0.803037      0.040886      0.033473
       0.0091       1371.26       0.11788   3.44059e-05      0.805736     0.0419807     0.0343692
       0.0092       1387.76      0.113187   3.73795e-05      0.808434     0.0430753     0.0352654
       0.0092       1387.76      0.113187   3.73795e-05      0.808434     0.0430753     0.0352654
       0.0092       1387.76      0.113187   3.73795e-05      0.808434     0.0430753     0.0352654
       0.0093       1404.36      0.108729   4.13456e-05      0.810862       0.04419      0.036178
       0.0094       1420.95       0.10427   4.53116e-05      0.813289     0.0453048     0.0370906
       0.0095       1437.63      0.100033   5.06663e-05       0.81546     0.0464381     0.0380184
       0.0096        1454.3     0.0957956   5.60209e-05      0.817631     0.0475713     0.0389462
       0.0097       1471.05     0.0917673   6.34863e-05       0.81956     0.0487215     0.0398879
       0.0098       1487.79      0.087739   7.09516e-05      0.821489     0.0498717     0.0408295
       0.0099       1504.58     0.0839086   8.15469e-05       0.82319     0.0510367     0.0417833
         0.01       1521.38     0.0800781   9.21423e-05      0.824891     0.0522017      0.042737
       0.0101        1538.2      0.076435   0.000107367      0.826377     0.0533792     0.0437011
       0.0102       1555.02     0.0727918   0.000122592      0.827864     0.0545567     0.0446651
       0.0103       1571.83     0.0693264   0.000144649      0.829148     0.0557438      0.045637
       0.0104       1588.64      0.065861   0.000166706      0.830432     0.0569309     0.0466088
       0.0105       1605.42     0.0625645    0.00019887      0.831527     0.0581239     0.0475855
       0.0106       1622.19      0.059268   0.000231035      0.832622     0.0593169     0.0485623
       0.0107       1638.87     0.0561327   0.000278173      0.833538      0.060511     0.0495398
       0.0108       1655.54     0.0529975   0.000325311      0.834455     0.0617051     0.0505174
       0.0109       1672.04     0.0500167   0.000394309      0.835204     0.0628941     0.0514908
        0.011       1688.55      0.047036   0.000463307      0.835954      0.064083     0.0524642
       0.0111       1704.78     0.0442044   0.000563997      0.836547     0.0652586     0.0534266
       0.0112       1721.01     0.0413728   0.000664687      0.837139     0.0664341      0.054389
       0.0113       1736.82     0.0386865   0.000811255      0.837586     0.0675849     0.0553312
       0.0114       1752.64     0.0360002   0.000957822      0.838033     0.0687357     0.0562733
       0.0115       1767.83      0.033459    0.00117049      0.838343     0.0698455     0.0571819
       0.0116       1783.02     0.0309178    0.00138317      0.838653     0.0709553     0.0580905
